Baja;Codigo_Colaborador;Codigo_Medida;Codigo_Sociedad;Codigo_Division_Personal;Codigo_Area_Personal;Codigo_SubDiv;Codigo_Nomina;Codigo_Relacion_Laboral;Codigo_Centro_Costo;Codigo_Estructura_Organizativa;Codigo_Posicion;Sexo;Edad_Empleado;Salario_Q_Normalizado;Codigo_Empresa;Grado_Hay_Limpio;Duracion_Anios
0;100289;1;3;11;26;14;11;1;339;397;32;1;34;1.5;12;15;1.92603
0;100295;1;4;91;26;248;14;1;348;598;184;2;22;0.515;11;12;1.90685
0;100296;1;3;11;26;14;11;1;341;399;27;2;35;1.0925;12;13;1.90411
0;100298;1;13;62;26;187;10;1;563;409;90;1;40;2.24;4;16;1.90411
0;100299;1;13;62;26;187;10;1;565;410;10;2;29;0.51;4;10;1.90411
0;100305;1;6;13;26;6;13;1;431;385;184;1;28;0.5175;7;11;1.89589
0;100307;1;13;62;26;187;10;1;563;409;32;1;51;1.75;4;14;1.86301
0;100309;1;16;9;26;13;16;1;599;419;32;2;29;2.0375;3;14;1.86849
0;100322;1;14;90;26;249;8;1;582;374;37;1;44;3.8525;7;17;1.8274
0;100323;1;14;90;26;249;8;1;581;372;136;1;23;0.82;7;12;1.83836
0;100324;1;6;14;26;5;13;1;434;602;183;1;25;0.48;7;10;1.82466
0;100326;1;6;14;26;10;13;1;405;381;10;1;30;0.59;7;11;1.81096
0;100327;1;16;9;26;13;16;1;599;419;4;2;30;0.945;3;13;1.81096
0;100328;1;16;9;26;13;16;1;601;418;32;1;31;1.89;3;15;1.79178
0;100329;1;6;13;26;6;13;1;418;387;4;2;36;1.225;7;13;1.7863
0;100330;1;13;62;26;187;10;1;564;408;32;1;34;1.605;4;14;1.7863
0;100331;1;6;14;26;5;13;1;428;390;137;1;33;0.675;7;12;1.7863
0;100333;1;6;13;26;6;13;1;431;385;184;1;43;0.5175;7;11;1.78082
0;100335;1;1;34;26;136;6;1;299;296;4;2;30;1.3375;8;13;1.79178
0;100336;9;13;62;26;187;10;1;565;410;90;2;40;2.5;4;16;1.76712
0;100338;1;16;9;26;13;16;1;600;418;20;2;50;10;3;22;1.7726
0;100340;1;6;14;26;5;13;1;394;595;126;2;25;0.535;7;10;1.76164
0;100356;1;6;13;26;6;13;1;406;380;4;2;30;0.703;7;11;1.74247
0;100361;1;1;44;26;137;6;1;319;303;32;2;26;1.1775;8;13;1.75342
0;100364;1;1;44;26;137;6;1;316;300;59;2;38;6.27;8;18;1.74247
0;100365;1;4;91;26;248;14;1;369;336;32;1;35;1.3;11;14;1.73425
0;100366;1;13;63;26;186;10;1;558;413;30;1;30;0.945;4;12;1.73151
0;100369;1;6;13;26;6;13;1;448;385;183;1;46;0.53;7;11;1.71507
0;100372;1;4;91;26;248;14;1;373;336;8;2;22;0.485;11;11;1.69589
0;100375;1;1;44;26;137;6;1;314;302;32;2;26;1.21;8;14;1.73425
0;100376;1;1;44;26;137;6;1;314;302;32;1;36;1.51;8;14;1.73425
0;100377;1;4;91;26;248;14;1;352;336;4;1;35;0.6;11;12;1.69589
