Codigo_Colaborador;Codigo_Medida;Codigo_Sociedad;Codigo_Division_Personal;Codigo_Area_Personal;Codigo_SubDiv;Codigo_Nomina;Codigo_Relacion_Laboral;Codigo_Centro_Costo;Codigo_Estructura_Organizativa;Codigo_Posicion;Sexo;Edad_Empleado;Salario_Q_Normalizado;Codigo_Empresa;Grado_Hay_Limpio;Duracion_Anios;Baja
33011;11;1;47;15;80;6;1;149;453;59;1;20;0.705;8;11;4.75068;0
33015;11;1;47;36;80;6;1;149;453;59;2;23;0.7825;8;12;4.75068;0
33019;11;1;32;15;102;6;1;208;534;59;2;22;0.705;8;11;4.75068;0
33031;1;4;91;26;248;14;1;360;346;17;1;33;2.2;11;16;4.63288;1
33033;1;4;91;26;248;14;1;359;344;90;2;38;2.87;11;16;4.12877;1
33121;11;1;59;15;124;6;1;261;609;59;1;23;0.6229;8;11;4.71507;0
33129;1;1;44;15;117;6;1;247;616;59;1;22;0.6229;8;11;4.53973;1
33142;1;5;15;26;20;2;1;376;356;129;1;29;0.5;11;11;2.67123;1
33171;11;1;34;15;35;6;1;31;443;59;2;21;0.705;8;11;4.06301;1
33176;1;4;91;26;248;14;1;365;337;10;1;25;0.43;11;10;4.19178;1
33240;11;1;84;15;118;6;1;250;481;59;2;23;0.66;8;11;3.78082;1
33245;1;1;84;15;118;6;1;250;481;59;1;24;0.56;8;11;2.65205;1
33258;1;1;84;15;118;6;1;250;481;59;2;24;0.693;8;11;4.52877;1
33269;11;1;55;15;86;6;1;164;503;59;2;22;0.6229;8;11;4.66027;0
33303;1;4;91;26;248;14;1;354;338;86;1;35;0.42;11;8;4.65205;0
33329;1;6;14;26;10;13;1;402;379;10;2;23;0.55;7;9;4.63562;0
33333;11;1;33;15;73;6;1;128;447;59;2;24;0.6229;8;11;4.63562;0
33353;11;1;35;15;65;6;1;104;519;59;1;25;0.6229;8;11;4.62192;0
33358;10;1;34;15;35;6;1;31;443;59;1;22;0.6229;8;11;4.62192;0
33372;1;4;91;26;248;14;1;357;349;90;2;31;1.89;11;16;3.49315;1
